track_id,reward_score,tempo,key,duration,genre,caption
midicaps_1a0751ad20e2f82957410a7510a1b13e,-2.1339077949523926,135,F# minor,59,"electronic,classical","A melodic electronic composition with classical influences, featuring a string ensemble, trumpet, brass section, synth strings, and drums. Set in F# minor with a 4/4 time signature, it moves at an Allegro tempo. The mood evokes a cinematic, spacious, and epic atmosphere while maintaining a sense of relaxation."
midicaps_164fcc530a285bdb8066c6aa8616c95b,0.8219431042671204,124,Eb major,169,"classical,pop","A cheerful and melodic Christmas song that blends elements of classical and pop music, featuring a tango accordion and clarinet playing the lead melodies, accompanied by an acoustic guitar, drums, and an acoustic bass. The piece is in the key of Eb major with a 2/4 time signature and maintains an Allegro tempo throughout."
midicaps_16b9a230fb007c0009feee532c3c4686,-1.468754768371582,120,C major,158,"electronic,classical","This energetic electronic and classical composition in C major features a moderate tempo of 120 beats per minute and a 4/4 time signature. The melody evokes a range of emotions, from happiness to darkness, making it suitable for film soundtracks. The chord progression of C, G, C, and C7 adds to the song's dynamic character."
midicaps_17655598958db48a34cd882f81402568,-0.39258435368537903,170,E major,99,"electronic,ambient","A short electronic ambient song featuring a piano, set in E major with a 4/4 time signature and a Presto tempo. The composition evokes a cinematic, energetic, and melodic atmosphere with hints of epic and dark undertones. The chord progression of B, Emaj7, C#m7, B7, and A adds to its captivating ambiance."
midicaps_13ad61f0cef919bc069175d0b0ce2437,-1.2214620113372803,124,C minor,103,"electronic,ambient","In this short electronic song, synth strings lead the way, accompanied by drums, electric bass, trumpet, and choir aahs. The composition evokes a cinematic, spacey atmosphere with a touch of darkness while maintaining a relaxing and melodic vibe. Set in C minor and moving at a fast tempo of 124 beats per minute, it follows a chord sequence of Gm, Dm, F, C, and Bb6 within a 4/4 time signature."
midicaps_11685e7d2a6ce813c43ecb50fecbc260,-1.4269144535064697,80,G major,147,"soundtrack,classical","A slow-paced soundtrack piece with a classical influence, featuring a string ensemble, church organ, brass section, drums, and violin, evoking a cinematic, epic, and emotional atmosphere, suitable for a film or Christmas setting, written in G major with a 4/4 time signature, and characterized by a G and D chord sequence."
midicaps_180b3a492c1c1a46d005e762d62b9aa4,-0.34436777234077454,96,D major,204,"pop,electronic","A cheerful pop song with a touch of electronic elements, featuring a piano and drums. The melody evokes feelings of love and happiness, with a hint of Christmas spirit. Set in the key of D major and a moderate 4/4 tempo, the song follows a chord progression of A7, D, Em7, A7, and D throughout its duration."
midicaps_12697568a5c06fe9fd0bae8b715f57f0,-1.2069330215454102,104,A major,31,"classical,electronic","A short classical and electronic piece that evokes a cinematic atmosphere, featuring a piano, violin, and string ensemble. The composition is in A major with a 3/4 time signature, progressing through a chord sequence of A, E7, A, Bm6, and F#m at a moderate tempo of 104 beats per minute."
midicaps_1b5441111ee9cd5242590a1714c7c9ce,-0.39066407084465027,80,C major,124,"classical,soundtrack","A slow-paced classical piece, likely part of a film soundtrack, featuring a string ensemble of violin, cello, and viola. The composition is in the key of C major with a 6/8 time signature, evoking a dark yet relaxing atmosphere. The harmonic structure revolves around the chords G and C, contributing to the song's cinematic and slightly romantic feel."
midicaps_1aab9c0822fc60f8efeade592f27cf12,0.887724757194519,96,F minor,98,"pop,instrumentalpop","A melodic and relaxing pop instrumental piece with a Christmas vibe, featuring piano, acoustic and fretless bass, drums, and electric guitar. Set in the key of F minor with a moderate tempo of 96 bpm, this short song follows a chord progression of Bb, Cm7, Abmaj7, Bb, and Cm7 in a 4/4 time signature."
